Italian,English,è il testo esatto che vuoi contare,is the exact text you want to count,,,,,,,,
Italian,English,è l'intervallo di celle in cui vuoi cercare,is the range of cells you want to search in,,,,,,,,
Italian,English,Come trovare quante volte un testo è presente in un Google Spreadsheet.,How to find how many times a text appears in a Google Spreadsheet.,,,,,,,,
French,English,moins critique qu'auparavant,less critical than before,,,,,,,,
French,English,chaque fichier requiert,each file requires,,,,,,,,
French,English,qu'elles entretiennent entre elles,that they maintain among themselves,,,,,,,,
French,English,voire avec les différentes versions,even with the different versions,,,,,,,,
French,English,qu'en est-il de la compatibilité,what about compatibility,,,,,,,,
French,English,cette importance croissante,this growing importance,,,,,,,,
Italian,English,Qual è stato il tempo più lento registrato,What was the slowest time recorded?,,,,,,,,
Italian,English,con un dislivello positivo di circa 157 m,with a positive difference in altitude of approximately 157m,,,,,,,,
Italian,English,Il percorso è piuttosto impegnativo,The route is quite challenging,,,,,,,,
Italian,English,Com’è il Marathon de Namur,What is the Marathon de Namur like?,,,,,,,,
Italian,English,Da dove viene il nome,Where does the name come from?,,,,,,,,
French,English,et bien plus encore,and much more,,,,,,,,
French,English,comment s'assurer que nos applications,how to ensure that our applications,,,,,,,,
French,English,qui entretiennent,who maintain,,,,,,,,
Italian,English,"gennaio, febbraio, marzo, aprile, maggio, giugno, luglio, agosto, settembre, ottobre, novembre, dicembre","January, February, March, April, May, June, July, August, September, October, November, December",,,,,,,,
Italian,English,la forma corretta in un elenco nel mezzo di una frase sarebbe,the correct form in a list in the middle of a sentence would be,,,,,,,,
Italian,English,"su una riga, separati da virgole","on one line, separated by commas",,,,,,,,
Italian,English,"scrivi i giorni della settimana: lunedì, martedì, mercoledì, giovedì, venerdì, sabato, domenica","write the days of the week: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,,,,,,
English,Italian,In the Netherlands they speak Dutch,Nei Paesi Bassi parlano olandese,,,,,,,,
English,Italian,In Poland they speak Polish,In Polonia parlano polacco,,,,,,,,
English,Italian,In Germany they speak German,In Germania parlano tedesco,,,,,,,,
English,Italian,In Italy they speak Italian,In Italia parlano italiano,,,,,,,,
English,Italian,In Spain they speak Spanish,In Spagna parlano spagnolo,,,,,,,,
Italian,English,"Ma per branch nel senso Git,","But for branch in the Git sense,",,,,,,,,
Italian,English,"forma germanizzata, più corretta in contesti economici","Germanized form, more correct in economic contexts",,,,,,,,
Italian,English,"Tuttavia, c'è un dettaglio","However, there is one detail",,,,,,,,
Italian,English,è un prestito dall’inglese,it is a loan from English,,,,,,,,
Italian,English,Ecco dove trovarle,Here's where to find them,,,,,,,,
Italian,English,può riferirsi a diverse cose,can refer to several things,,,,,,,,
Italian,English,Dove posso vedere la versione di un repository su GitHub?,Where can I see the version of a repository on GitHub?,,,,,,,,
English,Italian,the butter is gone,il burro è finito,,,,,,,,
English,Italian,the time is over,il tempo è finito,,,,,,,,
English,Italian,throw it into there,buttalo lì dentro,,,,,,,,
Italian,English,spazzatura,garbage,,,,,,,,
English,Italian,it belongs in the trash can,appartiene al cestino della spazzatura,,,,,,,,
Italian,English,Lo svolgimento,The development,,,,,,,,
Italian,English,parecchio,a lot of,,,,,,,,
English,Italian,the truth,la verità,,,,,,,,
English,Italian,it is still bad,è ancora male,,,,,,,,
English,Italian,after three months of learning,dopo tre mesi di apprendimento,,,,,,,,
English,Italian,I am not going to worry about it,Non mi preoccuperò di questo,,,,,,,,
English,Italian,I like to work at home,Mi piace lavorare da casa,,,,,,,,
English,Italian,for this reason,per questo motivo,,,,,,,,
English,Italian,the test passed,il test è stato superato,,,,,,,,
English,Italian,the test are running now,i test sono in esecuzione ora,,,,,,,,
English,Italian,we only have one line,abbiamo solo una linea,,,,,,,,
English,Italian,now we will copy those lines,ora copieremo quelle linee,,,,,,,,
